,title,location,posted_on,institute,keyword,comb,exist
8,Rektorin / Rektor (m/w/d),"Albstadt, Sigmaringen",29.07.2025,Hochschule Albstadt-Sigmaringen,MotorControl_Neuroengineering,"29.07.2025|Albstadt, Sigmaringen",FALSE
16,Wissenschaftliche:r Informatiker:in (w/m/d) im Forschungsprojekt,Bremen,23.07.2025,Hochschule Bremen HSB,BrainMachine_Interface,23.07.2025|Bremen,FALSE
17,Wissenschaftliche:r Nautiker:in (w/m/d) im Forschungsprojekt,Bremen,23.07.2025,Hochschule Bremen HSB,BrainMachine_Interface,23.07.2025|Bremen,FALSE
18,University assistant predoctoral,Wien,01.08.2025,Universität Wien,BrainMachine_Interface,01.08.2025|Wien,FALSE
25,Doctoral Researchers: Up to 6 Fully Funded Positions in Data Science & Health,Heidelberg,14.07.2025,Deutsches Krebsforschungszentrum (DKFZ),BrainMachine_Interface,14.07.2025|Heidelberg,FALSE
27,"Wissenschaftliche:r Mitarbeiter:in (w/m/d), Schwerpunkt Lehre in der Physiologie",Berlin,18.07.2025,MSB Medical School Berlin - Hochschule für Gesundheit und Medizin,MotorCortex_Electrophysiology,18.07.2025|Berlin,FALSE
35,University assistant predoctoral 1,Wien,01.08.2025,Universität Wien,Cognitiveand_Systems_Neuroscience,01.08.2025|Wien,FALSE
38,Wissenschaftliche*r Mitarbeiter*in (Doktorand*in),Marburg,30.07.2025,Philipps-Universität Marburg,Cognitiveand_Systems_Neuroscience,30.07.2025|Marburg,FALSE
42,"Operative Leitung (d/w/m) der Plattform Mikroskopische Bildgebung im Forschungshaus ""Der Simulierte Mensch""",Berlin,14.07.2025,Charité - Universitätsmedizin Berlin,Cognitiveand_Systems_Neuroscience,14.07.2025|Berlin,FALSE
58,Werkstudent*in (m/w/d) mit Schwerpunkt Künstliche Intelligenz,Augsburg,18.07.2025,Stadtwerke Augsburg Holding GmbH,Brain-InspiredAI_Architectures,18.07.2025|Augsburg,FALSE
65,Studentische Aushilfe (d/m/w) Schwerpunkt KI-Kompetenz für Wirtschafts- und Politikberatung,Berlin,04.08.2025,Prognos AG,Brain-InspiredAI_Architectures,04.08.2025|Berlin,FALSE
68,tenure track position for AI-based and molecular personalized prostate cancer research,Innsbruck,17.07.2025,Medizinische Universität Innsbruck,Brain-InspiredAI_Architectures,17.07.2025|Innsbruck,FALSE
72,Wissenschaftlicher Mitarbeiter (m/w/d) für das Robotics Institute Germany (RIG),München,21.07.2025,Technische Universität München (TUM),Brain-InspiredAI_Architectures,21.07.2025|München,FALSE
75,Referent*in für Early Career Research und Internationalisierung der Forschung (m/w/d),Bielefeld,29.07.2025,Hochschule Bielefeld,NeuroprostheticsResearch,29.07.2025|Bielefeld,FALSE
77,"ReSpace! One postdoctoral and several doctoral positions (m/f/d) at the interdisciplinary research group “ReSpace! Connected Response-able Spaces and Infrastructures for Sustainable Living” (3-year fixed-term, fulltime-position)",Braunschweig,23.07.2025,Technische Universität Braunschweig,NeuroprostheticsResearch,23.07.2025|Braunschweig,FALSE
79,"Two PhD positions (m/f/d) in Urban Design / Participatory Planning at the Collaborative Research Center (CRC, SFB/TRR 408) ""AgiMo: Data-driven agile planning for responsible mobility""",Braunschweig,23.07.2025,Technische Universität Braunschweig,NeuroprostheticsResearch,23.07.2025|Braunschweig,FALSE
80,"Research Assistant Position (f/m/d)  (Ref. 25/13)  in the Research Group  ""Numerical Mathematics and Scientific Computing""",Berlin,25.07.2025,Weierstrass Institute for Applied Analysis and Stochastics (WIAS),NeuroprostheticsResearch,25.07.2025|Berlin,FALSE
82,"Research Assistant Position (f/m/d) in the Research Group ""Numerical Mathematics and Scientific Computing"" (Ref. 25/10)",Berlin,17.07.2025,Weierstrass Institute for Applied Analysis and Stochastics (WIAS),NeuroprostheticsResearch,17.07.2025|Berlin,FALSE
83,Research Assistant Position (f/m/d),Berlin,05.08.2025,Forschungsverbund Berlin e.V. (FVB),NeuroprostheticsResearch,05.08.2025|Berlin,FALSE
84,"PhD Student Position (f/m/d) in the Leibniz Junior Research Group ""Probabilistic Methods for Dynamic Communication Networks""",Berlin,18.07.2025,Weierstrass Institute for Applied Analysis and Stochastics (WIAS),NeuroprostheticsResearch,18.07.2025|Berlin,FALSE
90,Researcher (f/m/d) in DNA-Based Information Processing Systems,Karlsruhe,01.08.2025,Karlsruher Institut für Technologie (KIT),NeuroprostheticsResearch,01.08.2025|Karlsruhe,FALSE
98,"PhD candidates (m/f/d) in the research areas of growth, analysis and electronic / optoelectronic device implementation of scalable 2D materials",Duisburg,18.07.2025,Universität Duisburg-Essen,NeuroprostheticsResearch,18.07.2025|Duisburg,FALSE
99,"PhD student position (f/m/d) within the DFG-funded research project ""Secondary ice production mechanisms: rime splintering and droplet shattering on freezing""",Eggenstein-Leopoldshafen,25.07.2025,Karlsruher Institut für Technologie (KIT),NeuroprostheticsResearch,25.07.2025|Eggenstein-Leopoldshafen,FALSE
100,"PhD Student / Research Assistant (f/m/d) on ""Shallow Geothermal Energy""",Karlsruhe,04.08.2025,Karlsruher Institut für Technologie (KIT),NeuroprostheticsResearch,04.08.2025|Karlsruhe,FALSE
101,tenure track position for Clinical research in pneumology,Innsbruck,17.07.2025,Medizinische Universität Innsbruck,NeuroprostheticsResearch,17.07.2025|Innsbruck,FALSE
103,"Scientific Positions for the DFG-funded Research Unit FOR5903 ""Sustainable Rurbanity - Resources, Society, and Regulatory Systems""","Kassel, Göttingen und weitere Standorte",11.07.2025,Universität Kassel,NeuroprostheticsResearch,"11.07.2025|Kassel, Göttingen und weitere Standorte",FALSE
104,Praktikant (m/w/d) im Bereich Medical Research,Köln,01.08.2025,BetterDoc GmbH,NeuroprostheticsResearch,01.08.2025|Köln,FALSE
105,"Referatsleiterin / Referatsleiter (w/m/d), Referat Außeruniversitäre Forschung",Potsdam,27.07.2025,Ministerium für Wissenschaft Forschung und Kultur des Landes Brandenburg,NeuroprostheticsResearch,27.07.2025|Potsdam,FALSE
107,"Projektreferent*in für Kooperationen und Fördermittel, in Vollzeit oder vollzeitnah (ca. 30-40 Stunden)",Würzburg,01.08.2025,Initiative Junge Forscherinnen und Forscher e.V.,NeuroprostheticsResearch,01.08.2025|Würzburg,FALSE
113,"Wissenschaftlich Beschäftigte*r ""Simulation & Logistics Engineering""",Dortmund,18.07.2025,Technische Universität Dortmund,NeuralEngineering,18.07.2025|Dortmund,FALSE
116,Cloud-Engineer (m/w/d),"Leipzig, Frankfurt am Main",22.07.2025,Bundesamt für Kartographie und Geodäsie,NeuralEngineering,"22.07.2025|Leipzig, Frankfurt am Main",FALSE
117,IT-DevOps-Engineer*in mit Schwerpunkt CRM und openshift,Wien,01.08.2025,Universität Wien,NeuralEngineering,01.08.2025|Wien,FALSE
118,IT-DevOps-Engineer*in mit Schwerpunkt CRM,Wien,01.08.2025,Universität Wien,NeuralEngineering,01.08.2025|Wien,FALSE
121,Wissenschaftliche Mitarbeiter:innen (w/m/d) als Spezialist:innen für Microlearnings im Transferhub,Mülheim an der Ruhr,05.08.2025,Hochschule Ruhr West,HebbianLearning,05.08.2025|Mülheim an der Ruhr,FALSE
170,Tierarzt / Biologe (w/m/d) für die Unterstützung der Core Facility-Leitung,Mannheim,05.08.2025,Medizinische Fakultät Mannheim,BiologicallyPlausible_Machine_Learning,05.08.2025|Mannheim,FALSE
184,Data Steward,Wien,01.08.2025,Universität Wien,BiologicallyPlausible_Machine_Learning,01.08.2025|Wien,FALSE
